用户id,0,1,2,3,4,5,6,7,8
1034998544,776,8,0,1,0,0,0,0,0
1083046042,1183,8,4,14,0,1,1,3,2
1135939212,220,0,0,1,0,0,0,1,0
1649610974,1905,0,1,4,0,0,0,3,0
1682097691,177,0,0,0,0,0,0,0,1
1728082737,210,0,0,0,0,0,0,0,1
1784057214,47,0,0,0,0,1,0,0,0
1790373221,441,0,1,1,0,0,0,2,0
1795347667,1009,0,2,0,0,0,0,0,1
1840772165,121,1,1,0,0,0,0,0,1
1855805130,324,1,0,1,0,0,0,0,0
1890320723,90,1,0,0,0,0,0,0,0
1899907815,93,0,0,1,0,1,0,0,0
1906851155,1746,1,1,0,0,2,0,2,4
1911833325,267,0,1,0,0,0,0,0,0
1915055757,239,0,1,0,0,1,0,1,0
1929974147,370,0,0,1,0,0,0,0,1
1935249385,405,0,3,0,0,0,0,0,1
1967998234,80,1,0,0,0,0,0,0,0
2163354963,591,1,0,0,0,0,0,0,2
2262854413,22,0,1,0,0,0,0,0,0
2270736810,60,0,0,1,0,0,0,0,0
2301911297,249,0,2,3,0,0,0,1,1
2317354191,362,1,0,1,0,2,0,2,1
2354638243,11,0,1,0,0,0,0,0,0
2355053125,140,0,0,0,0,0,0,0,1
2385795183,285,1,0,0,0,0,2,0,0
2412088971,178,0,0,1,0,0,0,0,0
2480863965,109,0,0,1,0,0,2,0,1
2515860361,270,0,0,1,0,0,0,0,2
2572842633,1060,0,0,7,0,0,2,2,4
2583436305,231,1,0,1,0,0,0,0,1
2594439380,169,0,2,1,0,3,0,0,0
2613818215,489,5,0,1,0,0,0,3,0
2615228915,222,0,0,1,0,0,0,0,0
2654284130,225,0,0,1,0,0,0,0,0
2655052371,916,1,0,3,0,1,1,1,6
2732515385,127,0,0,1,0,0,0,0,0
2772104135,900,0,0,1,0,0,0,0,2
2796581901,15,0,0,1,0,0,0,0,0
2803535561,631,0,2,2,0,1,1,1,1
2814354731,184,0,1,0,0,0,0,0,0
2829774490,222,2,2,1,0,0,0,0,1
2858219670,351,0,0,0,0,0,0,2,0
2871635772,394,0,0,3,0,0,0,0,0
2925405971,132,1,0,1,0,0,0,0,1
2938075221,44,0,0,1,0,0,0,0,0
2947408677,539,0,0,2,0,1,0,0,0
2979488924,149,0,1,0,0,0,0,0,0
2981465385,188,0,0,0,0,0,1,0,0
3053819357,303,0,0,0,0,0,0,2,1
3090724317,565,8,2,2,0,0,1,1,1
3091809057,141,0,0,1,0,0,0,0,0
3103142272,483,0,2,2,0,1,0,1,3
3122109470,163,1,0,0,0,0,0,0,0
3146274397,30,0,0,0,0,0,0,0,1
3162204211,24,0,1,0,0,0,0,0,0
