uid,length,positive,negative,anger,disgust,fear,sadness,surprise,good,happy
1034998544,5407,1110,672,5,455,42,792,182,29,303
1083046042,1215,0,0,0,0,0,0,0,0,0
1135939212,16619,2721,911,12,623,96,1807,194,43,889
1345584264,8,0,0,0,0,0,0,0,0,0
1365202393,1,0,0,0,0,0,0,0,0,0
1379312505,11,0,0,0,0,0,0,0,0,0
1559858304,105,0,0,0,0,0,0,0,0,0
1649610974,40095,5367,1350,37,970,101,2990,260,138,2276
1682097691,177,0,0,0,0,0,0,0,0,0
1689603763,104,0,0,0,0,0,0,0,0,0
1720808935,26,0,0,0,0,0,0,0,0,0
1728082737,210,0,0,0,0,0,0,0,0,0
1752290215,8,0,0,0,0,0,0,0,0,0
1758301177,20669,0,0,0,0,0,0,0,0,0
1783834712,5,0,0,0,0,0,0,0,0,0
1784057214,47,0,0,0,0,0,0,0,0,0
1790373221,444,0,0,0,0,0,0,0,0,0
1795347667,15513,2777,985,24,681,69,2008,219,42,736
1840772165,860,112,148,0,116,0,75,32,0,37
1854681092,77,0,0,0,0,0,0,0,0,0
1855805130,8850,1925,772,19,425,52,1237,276,23,665
1890320723,90,0,0,0,0,0,0,0,0,0
1899907815,94,0,0,0,0,0,0,0,0,0
1901818891,147,35,8,0,8,0,16,0,0,19
1906851155,47087,0,0,0,0,0,0,0,0,0
1911833325,6834,837,506,60,329,23,640,94,22,178
1915055757,241,0,0,0,0,0,0,0,0,0
1929974147,371,0,0,0,0,0,0,0,0,0
1935249385,408,0,0,0,0,0,0,0,0,0
1952171374,1,0,0,0,0,0,0,0,0,0
1954348661,506,26,40,0,32,0,9,8,0,17
1961389907,2,0,0,0,0,0,0,0,0,0
1967998234,80,0,0,0,0,0,0,0,0,0
2098255055,68,0,0,0,0,0,0,0,0,0
2132587405,1032,156,94,0,74,6,101,20,0,55
2141119812,29,0,0,0,0,0,0,0,0,0
2143547892,346,0,0,0,0,0,0,0,0,0
2143882514,12,0,0,0,0,0,0,0,0,0
2163354963,8345,1266,689,3,436,60,930,190,39,314
2216238595,5588,897,376,0,247,18,523,111,12,362
2262854413,22,0,0,0,0,0,0,0,0,0
2270736810,60,0,0,0,0,0,0,0,0,0
2301911297,255,0,0,0,0,0,0,0,0,0
2306306105,1195,141,91,0,80,5,88,6,0,53
2317354191,368,0,0,0,0,0,0,0,0,0
2332298080,18,0,0,0,0,0,0,0,0,0
2347078513,365,61,25,0,10,15,35,0,7,19
2354515275,841,86,123,0,80,18,70,25,5,11
2354638243,11,0,0,0,0,0,0,0,0,0
2355053125,2985,511,157,0,102,36,289,19,22,200
2385795183,287,0,0,0,0,0,0,0,0,0
2412088971,178,0,0,0,0,0,0,0,0,0
2480863965,1814,359,261,0,240,1,226,23,12,121
2513129111,129,0,0,0,0,0,0,0,0,0
2515860361,272,0,0,0,0,0,0,0,0,0
2572842633,1074,0,0,0,0,0,0,0,0,0
2583436305,6146,1569,303,0,222,12,1097,69,12,460
2594439380,174,0,0,0,0,0,0,0,0,0
2612044685,1451,242,36,0,28,0,166,8,5,71
2612167125,366,59,41,0,22,0,36,19,0,23
2613818215,497,0,0,0,0,0,0,0,0,0
2615228915,222,0,0,0,0,0,0,0,0,0
2654284130,225,0,0,0,0,0,0,0,0,0
2655052371,13253,2134,1357,8,1021,75,1320,253,41,773
2691828924,2242,421,154,0,81,11,344,68,5,72
2732515385,1582,471,113,0,80,9,249,24,10,212
2739561451,2569,219,133,0,81,18,175,34,0,44
2743705125,109,12,34,0,21,0,5,13,0,7
2757372965,963,166,42,0,33,4,124,5,5,37
2772104135,6956,1125,674,8,443,68,743,175,35,348
2796581901,15,0,0,0,0,0,0,0,0,0
2803535561,16182,3237,1658,54,1113,71,2232,432,53,964
2812619613,5,0,0,0,0,0,0,0,0,0
2814354731,2988,638,181,0,113,0,442,68,35,164
2825788635,40,10,12,0,12,0,0,0,5,5
2828388490,255,54,6,0,6,0,44,0,0,10
2829774490,227,0,0,0,0,0,0,0,0,0
2858219670,23674,5538,1712,17,957,125,4128,626,156,1263
2871635772,396,0,0,0,0,0,0,0,0,0
2872255713,7487,1769,473,24,313,37,1261,102,21,496
2925405971,134,0,0,0,0,0,0,0,0,0
2930294883,135,0,0,0,0,0,0,0,0,0
2938075221,44,0,0,0,0,0,0,0,0,0
2947408677,18668,2559,1483,19,1029,89,1739,349,33,802
2951339827,74,0,0,0,0,0,0,0,0,0
2952608722,17081,3417,1124,7,609,117,2120,399,56,1255
2967680665,4187,476,208,0,189,0,278,19,16,182
2972378563,1472,0,0,0,0,0,0,0,0,0
2979488924,149,0,0,0,0,0,0,0,0,0
2981465385,188,0,0,0,0,0,0,0,0,0
3023956475,7733,2590,0,0,0,0,2503,0,0,87
3044197555,57,0,0,0,0,0,0,0,0,0
3053819357,305,0,0,0,0,0,0,0,0,0
3089853925,294,0,0,0,0,0,0,0,0,0
3090724317,579,0,0,0,0,0,0,0,0,0
3091809057,3040,449,246,0,146,21,322,79,5,122
3103142272,491,0,0,0,0,0,0,0,0,0
3122109470,755,38,20,0,12,3,21,5,0,17
3146274397,30,0,0,0,0,0,0,0,0,0
3162204211,24,0,0,0,0,0,0,0,0,0
3168103974,2195,0,0,0,0,0,0,0,0,0
3194653120,30,0,0,0,0,0,0,0,0,0
3201569584,845,192,57,0,32,0,78,25,8,109
3202064343,513,91,55,0,45,0,83,10,0,8
3209179363,22,0,0,0,0,0,0,0,0,0
3210383005,55,0,0,0,0,0,0,0,0,0
3214376145,220,0,0,0,0,0,0,0,0,0
3216102991,1431,378,166,5,123,9,239,32,16,126
3216885825,94,0,0,0,0,0,0,0,0,0
3216969435,81,0,0,0,0,0,0,0,0,0
3217227017,406,83,17,0,12,5,58,0,0,25
3221124933,624,0,0,0,0,0,0,0,0,0
3226223413,58,0,0,0,0,0,0,0,0,0
3264611790,1011,300,78,0,50,8,188,20,10,102
3276671605,68,0,0,0,0,0,0,0,0,0
3283128800,61,0,0,0,0,0,0,0,0,0
3385291250,518,0,0,0,0,0,0,0,0,0
3404220052,5096,0,0,0,0,0,0,0,0,0
3412797352,12,0,0,0,0,0,0,0,0,0
3443262340,27,0,0,0,0,0,0,0,0,0
3458633544,4306,668,273,0,220,13,404,40,14,250
3480069400,118,0,0,0,0,0,0,0,0,0
3484538392,216,0,0,0,0,0,0,0,0,0
3493466205,1953,401,84,0,51,3,213,30,5,183
3537645293,34,0,0,0,0,0,0,0,0,0
3545430891,62,0,0,0,0,0,0,0,0,0
3556828137,11217,1859,1134,29,746,76,1358,288,44,457
3566723235,739,0,0,0,0,0,0,0,0,0
3607096365,691,85,71,0,61,5,72,8,0,13
3621049273,480,0,0,0,0,0,0,0,0,0
3625850185,97,36,3,0,3,0,9,0,9,18
3627337957,2742,751,279,0,233,15,493,31,7,251
3639273207,360,91,35,0,22,8,58,5,0,33
3669462752,154,0,0,0,0,0,0,0,0,0
3674776682,76,0,0,0,0,0,0,0,0,0
3681175815,32,0,3,0,3,0,0,0,0,0
3681928253,658,114,22,0,10,0,81,12,0,33
3686243894,649,0,0,0,0,0,0,0,0,0
3687423002,945,220,86,3,50,12,134,21,10,76
3705106287,1977,0,0,0,0,0,0,0,0,0
3709073112,226,0,0,0,0,0,0,0,0,0
3720304572,1268,159,119,3,73,11,90,32,5,67
3721559683,804,0,0,0,0,0,0,0,0,0
3737694527,148,0,0,0,0,0,0,0,0,0
3747986174,9571,1829,676,7,526,42,1204,106,26,599
3786044757,24,0,0,0,0,0,0,0,0,0
3802299823,3616,832,137,0,96,20,570,26,0,262
3805276521,433,0,0,0,0,0,0,0,0,0
3807254986,183,0,0,0,0,0,0,0,0,0
3807456470,36,0,0,0,0,0,0,0,0,0
3814687429,1160,0,0,0,0,0,0,0,0,0
3824806375,117,0,0,0,0,0,0,0,0,0
3832092607,107,0,0,0,0,0,0,0,0,0
3832106215,1614,391,191,0,116,13,261,68,0,130
3839066554,499,0,0,0,0,0,0,0,0,0
3863836921,289,0,0,0,0,0,0,0,0,0
3879608986,15,0,0,0,0,0,0,0,0,0
3884645256,5478,1431,452,5,300,16,1143,134,26,262
3903338780,424,0,0,0,0,0,0,0,0,0
3914851825,821,222,57,0,44,3,133,10,3,86
3946069999,3395,699,348,5,271,14,530,61,10,159
3951807751,287,0,0,0,0,0,0,0,0,0
3961025529,1776,334,108,11,59,7,282,31,0,55
3961135974,171,16,18,0,6,0,16,12,0,0
3966661012,90,0,0,0,0,0,0,0,0,0
3967078863,2754,622,184,0,152,6,312,29,10,300
3969830293,416,0,0,0,0,0,0,0,0,0
3969952990,129,0,0,0,0,0,0,0,0,0
3972460571,2690,0,0,0,0,0,0,0,0,0
3975591255,1403,232,120,0,70,17,127,33,0,105
3980168469,124,0,0,0,0,0,0,0,0,0
3983695200,6164,1222,526,21,342,32,848,139,10,366
3985188970,74,0,0,0,0,0,0,0,0,0
5018816731,24,0,0,0,0,0,0,0,0,0
5024461673,482,0,0,0,0,0,0,0,0,0
5026372984,506,0,0,0,0,0,0,0,0,0
5027756359,8523,1231,789,33,513,89,842,162,33,360
5037978954,60,0,0,0,0,0,0,0,0,0
5040826709,16422,2345,1615,29,1104,160,1418,357,105,825
5041220633,296,85,32,5,22,0,46,5,0,39
5047869563,111,0,0,0,0,0,0,0,0,0
5048397309,971,0,0,0,0,0,0,0,0,0
5054433349,129,0,0,0,0,0,0,0,0,0
5054638855,42,0,0,0,0,0,0,0,0,0
5060480106,3292,782,187,0,129,13,473,52,5,304
5063815035,169,0,0,0,0,0,0,0,0,0
5065169831,139,0,0,0,0,0,0,0,0,0
5074790464,46,0,0,0,0,0,0,0,0,0
5081075587,676,0,0,0,0,0,0,0,0,0
5092421187,1690,293,177,0,123,20,152,34,0,141
5099019020,15,0,0,0,0,0,0,0,0,0
5118257250,2104,506,183,0,123,0,346,60,3,160
5122415415,247,0,0,0,0,0,0,0,0,0
5122497410,198,0,0,0,0,0,0,0,0,0
5123339885,275,0,0,0,0,0,0,0,0,0
5124988572,2178,460,211,0,170,19,289,22,15,156
5127443308,1124,0,0,0,0,0,0,0,0,0
5128504504,194,0,0,0,0,0,0,0,0,0
5131331893,124,0,0,0,0,0,0,0,0,0
5138366725,18,0,0,0,0,0,0,0,0,0
5138629950,2,0,0,0,0,0,0,0,0,0
5142352132,5,0,0,0,0,0,0,0,0,0
5143062643,38,0,0,0,0,0,0,0,0,0
5144221546,182,0,0,0,0,0,0,0,0,0
5146480849,307,0,0,0,0,0,0,0,0,0
5152835439,32,0,0,0,0,0,0,0,0,0
5170316972,120,0,0,0,0,0,0,0,0,0
5172943917,81,0,0,0,0,0,0,0,0,0
5173780460,2066,398,151,0,107,0,206,44,7,185
5174473506,129,0,0,0,0,0,0,0,0,0
5186416257,1186,454,125,0,80,23,216,22,0,238
5187286018,375,0,0,0,0,0,0,0,0,0
5187499523,81,0,0,0,0,0,0,0,0,0
5199433861,232,0,0,0,0,0,0,0,0,0
5204658881,384,0,0,0,0,0,0,0,0,0
5205136334,2634,654,312,12,211,3,467,89,10,180
5206652217,42,0,0,0,0,0,0,0,0,0
5211912483,108,0,0,0,0,0,0,0,0,0
5219826833,136,0,0,0,0,0,0,0,0,0
5220348680,1180,86,56,0,53,3,56,3,8,22
5223454365,207,0,0,0,0,0,0,0,0,0
5223722735,224,0,0,0,0,0,0,0,0,0
5225068640,1044,318,157,0,105,5,200,53,5,113
5226401408,465,0,0,0,0,0,0,0,0,0
5227425888,1119,304,109,0,57,11,203,41,6,95
5227426075,6365,1185,359,5,242,32,797,80,23,368
5227861306,8190,1805,822,0,540,57,1233,228,41,531
5228506213,833,0,0,0,0,0,0,0,0,0
5229785831,376,0,0,0,0,0,0,0,0,0
5232853656,530,0,0,0,0,0,0,0,0,0
5234475519,269,0,0,0,0,0,0,0,0,0
5237988185,135,0,0,0,0,0,0,0,0,0
5238279314,9033,0,0,0,0,0,0,0,0,0
5239742616,35324,5528,2935,50,2082,205,3927,615,187,1420
5239855151,81,0,0,0,0,0,0,0,0,0
5242670358,376,0,0,0,0,0,0,0,0,0
5242930332,120,0,0,0,0,0,0,0,0,0
5245106020,20,0,0,0,0,0,0,0,0,0
5245476210,15936,0,0,0,0,0,0,0,0,0
5245922808,1534,419,107,0,57,11,255,39,8,156
5247796685,94,0,0,0,0,0,0,0,0,0
5248119457,59,0,0,0,0,0,0,0,0,0
5257191749,716,159,86,0,51,14,96,26,0,66
5259367709,321,0,0,0,0,0,0,0,0,0
5260475919,198,0,0,0,0,0,0,0,0,0
5264648521,866,159,55,0,28,0,117,27,5,40
5266632459,337,0,0,0,0,0,0,0,0,0
5268383373,20,0,0,0,0,0,0,0,0,0
5269313231,27,0,0,0,0,0,0,0,0,0
5270578335,5147,661,224,7,177,5,354,38,5,302
5271600170,240,42,22,0,22,0,30,0,0,12
5271684906,24,0,0,0,0,0,0,0,0,0
5272683649,1263,0,0,0,0,0,0,0,0,0
5280008911,89,0,0,0,0,0,0,0,0,0
5280388474,38,0,0,0,0,0,0,0,0,0
5281704095,3781,734,418,0,321,17,539,85,10,185
5286233788,208,0,0,0,0,0,0,0,0,0
5287998142,882,0,0,0,0,0,0,0,0,0
5289880474,820,0,0,0,0,0,0,0,0,0
5299236839,66,5,14,0,14,0,0,0,0,5
5301143226,37,0,0,0,0,0,0,0,0,0
5305151597,1434,270,209,12,136,22,191,39,6,73
5306991889,162,0,0,0,0,0,0,0,0,0
5307825621,912,0,0,0,0,0,0,0,0,0
5308391218,181,86,8,0,3,5,56,0,0,30
5309387810,809,0,0,0,0,0,0,0,0,0
5311977602,2,0,0,0,0,0,0,0,0,0
5314315097,3732,482,310,0,218,30,306,65,0,176
5317524254,562,0,0,0,0,0,0,0,0,0
5319634294,1200,0,0,0,0,0,0,0,0,0
5325473614,900,0,0,0,0,0,0,0,0,0
5326369539,160,0,0,0,0,0,0,0,0,0
5326969785,76,0,0,0,0,0,0,0,0,0
5327252302,64,0,0,0,0,0,0,0,0,0
5327377266,2313,502,173,0,117,3,285,53,10,207
5334720071,46,0,0,0,0,0,0,0,0,0
5334856546,2317,166,34,0,18,1,119,15,14,33
5342239609,62,0,0,0,0,0,0,0,0,0
5344430033,376,0,0,0,0,0,0,0,0,0
5345920118,12673,1824,1232,12,800,72,1432,348,48,344
5347741373,1557,439,81,5,59,0,315,17,0,124
5350671581,5085,809,536,0,376,52,602,116,20,190
5356459372,384,0,0,0,0,0,0,0,0,0
5361677143,1246,0,0,0,0,0,0,0,0,0
5362565283,413,0,0,0,0,0,0,0,0,0
5365776799,51,0,0,0,0,0,0,0,0,0
5366007513,44,0,0,0,0,0,0,0,0,0
5369154231,188,0,0,0,0,0,0,0,0,0
5370587714,6107,1057,594,22,364,26,722,182,23,319
5373212783,253,0,0,0,0,0,0,0,0,0
